Temperature	Accepted Moves	Rejected Moves	HPWL	Area
40000	95	5	3.5682e+06	3.63756e+06
38000	97	3	2.35504e+06	3.0286e+06
36100	94	6	1.68566e+06	2.316e+06
34295	93	7	1.23405e+06	1.62226e+06
32580.2	96	4	1.03969e+06	1.12786e+06
30951.2	96	4	933556	952638
29403.7	97	3	873001	872358
27933.5	84	16	862973	795438
26536.8	91	9	854918	736760
25210	88	12	883944	837810
23949.5	94	6	866901	874038
22752	90	10	935416	989346
21614.4	88	12	928664	978954
20533.7	93	7	901345	921551
19507	84	16	926574	934560
18531.6	89	11	982344	1.06506e+06
17605.1	92	8	960238	1.11328e+06
16724.8	86	14	918832	1.00266e+06
15888.6	87	13	860544	889530
15094.1	95	5	899400	889262
14339.4	91	9	922430	950788
13622.5	86	14	923113	964288
12941.3	88	12	914820	959040
12294.3	83	17	853617	740871
11679.6	76	24	915484	911727
11095.6	89	11	891466	863025
10540.8	86	14	884636	844120
10013.8	86	14	894660	885480
9513.08	88	12	858089	821466
9037.42	78	22	851649	786676
8585.55	77	23	853002	853998
8156.27	80	20	891810	866880
7748.46	75	25	854896	814815
7361.04	70	30	872348	871780
6992.98	79	21	842186	790970
6643.34	71	29	844928	777563
6311.17	74	26	880092	873549
5995.61	73	27	862326	807290
5695.83	74	26	803077	766194
5411.04	68	32	847930	762680
5140.49	69	31	808062	785232
4883.46	68	32	784894	795586
4639.29	63	37	788462	734708
4407.32	59	41	781232	730950
4186.96	59	41	754960	682872
3977.61	62	38	748474	677600
3778.73	61	39	763182	735635
3589.79	52	48	770292	740145
3410.3	46	54	750334	701756
3239.79	50	50	738233	677784
3077.8	50	50	737350	667392
2923.91	45	55	740840	727552
2777.71	55	45	750344	734008
2638.83	51	49	749024	701955
2506.89	48	52	744618	708235
2381.54	37	63	745154	709205
2262.47	58	42	722752	679560
2149.34	39	61	710430	637940
2041.87	42	58	719428	666624
1939.78	43	57	712191	609620
1842.79	34	66	718468	652616
1750.65	50	50	735713	668250
1663.12	44	56	717736	638144
1579.96	32	68	711482	683886
1500.97	41	59	687082	671118
1425.92	38	62	695482	739276
1354.62	33	67	693142	672364
1286.89	35	65	684876	645372
1222.55	35	65	688300	614318
1161.42	31	69	692055	617994
1103.35	31	69	679051	611864
1048.18	32	68	665390	595143
995.771	24	76	668342	610470
945.983	21	79	665346	597882
898.684	26	74	659834	559495
853.749	17	83	661670	569180
811.062	27	73	652264	562436
770.509	28	72	649871	576080
731.983	18	82	643746	559910
695.384	16	84	639656	545760
660.615	15	85	635747	545002
627.584	9	91	636714	551174
596.205	24	76	626278	544419
566.395	16	84	619834	529184
538.075	16	84	611522	502884
511.171	14	86	609517	521280
485.613	14	86	604360	506863
461.332	10	90	601216	509026
438.265	13	87	597905	511868
416.352	9	91	595950	507524
395.535	7	93	594375	506076
375.758	12	88	590352	506076
356.97	4	96	588198	506775
339.121	5	95	588510	503904
322.165	11	89	584617	487890
306.057	12	88	580774	487846
290.754	7	93	578299	490670
276.217	8	92	576956	485728
262.406	11	89	574210	494802
249.285	15	85	572178	499142
236.821	12	88	567560	519048
224.98	7	93	566614	519048
213.731	8	92	565425	512640
203.045	10	90	560375	526348
192.892	9	91	557892	524167
183.248	8	92	555674	525609
174.085	8	92	554126	546830
165.381	6	94	549142	538635
157.112	3	97	547200	539358
149.256	5	95	546780	538635
141.794	11	89	541752	534345
134.704	4	96	539638	534345
127.969	10	90	537068	529975
121.57	6	94	536391	529975
115.492	3	97	535964	529975
109.717	7	93	534954	527051
104.231	7	93	534019	526320
99.0197	5	95	533506	507314
94.0688	3	97	532995	505232
89.3653	5	95	532165	505232
84.8971	2	98	532215	503776
80.6522	6	94	531704	502392
76.6196	6	94	530902	502392
72.7886	3	97	529605	502392
69.1492	0	100	529605	502392
65.6917	3	97	528442	498762
62.4071	11	89	527409	499488
59.2868	5	95	527086	499488
56.3224	7	93	527128	499488
53.5063	3	97	525632	498870
50.831	2	98	525322	493044
48.2895	4	96	524765	496664
45.875	4	96	524154	496664
43.5812	3	97	522720	494492
41.4022	7	93	518253	491596
39.3321	3	97	517768	491596
37.3655	2	98	517768	491596
35.4972	8	92	515978	490238
33.7223	4	96	515512	490148
32.0362	2	98	515098	490872
30.4344	6	94	512694	493848
28.9127	3	97	511966	486528
27.467	8	92	509999	486528
26.0937	2	98	509908	486528
24.789	3	97	509388	486528
23.5496	5	95	509040	486528
22.3721	5	95	508473	508972
21.2535	5	95	506218	509780
20.1908	3	97	506009	488958
19.1813	2	98	505074	487596
18.2222	0	100	505074	487596
17.3111	7	93	504142	484732
16.4455	1	99	504060	461714
15.6233	3	97	503720	461714
14.8421	3	97	503429	461714
14.1	1	99	503038	461714
13.395	5	95	502579	462391
12.7252	1	99	502574	461708
12.089	6	94	502097	461708
11.4845	5	95	500688	458328
10.9103	8	92	498425	458328
10.3648	3	97	498272	476096
9.84655	2	98	498216	476096
9.35422	1	99	497126	460272
8.88651	7	93	496204	459603
8.44218	3	97	495948	460290
8.02008	3	97	495389	453582
7.61907	9	91	493602	453582
7.23812	3	97	493567	450870
6.87621	5	95	492282	450870
6.5324	3	97	491860	450882
6.20578	2	98	490770	450882
5.89549	3	97	490166	450205
5.60072	2	98	490016	448200
5.32068	5	95	489414	448200
5.05465	5	95	487180	448200
4.80192	4	96	487134	449528
4.56182	4	96	486452	459488
4.33373	5	95	485720	449528
4.11704	5	95	485048	441404
3.91119	5	95	484990	441404
3.71563	1	99	484888	458356
3.52985	1	99	483903	452732
3.35336	2	98	483903	452732
3.18569	4	96	483513	452732
3.0264	2	98	483242	455544
2.87508	6	94	482758	455544
2.73133	2	98	482724	451656
2.59476	3	97	482724	451656
2.46503	3	97	481654	454248
2.34177	3	97	481532	454248
2.22469	4	96	480196	453600
2.11345	3	97	479600	457488
2.00778	2	98	479368	458136
1.90739	3	97	478769	458136
1.81202	4	96	478769	458136
1.72142	2	98	478312	458136
1.63535	3	97	478146	458136
1.55358	2	98	477072	459550
1.4759	2	98	476378	445250
1.40211	3	97	476090	445250
1.332	0	100	476090	445250
1.2654	3	97	475889	445250
1.20213	5	95	475802	450450
1.14202	3	97	475268	450450
1.08492	2	98	475180	450450
1.03068	2	98	474926	449800
